"celebrates","Who.do.you.celebrate.the.Fourth.of.July.with.","watches_fireworks","what_do_you_wear","celebration_location","Describe.America.in.three.words","Why.do.you.not.celebrate.the.Fourth.of.July.","Describe.America.in.3.words","gender","age_group","race","is_hispanic","region","Democrat_party_opinion","Republican_party_opinion","Donald_Trump_opinion","id","trump_support","democrat_support","republican_support","three_words","weight","political_weight","devices","devices_value"
"No","","","None of the above","","","Don't feel motivated to celebrate","free big cool","Female","18-24","White","No","Northeast",3,2,1,79,"Disapprove","Neutral","Disapprove","free big cool",0.502536163331714,0.272542963940985,"Fountains",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Sunscreen","Outdoors","Free capitalist guns","","","Male","18-24","White","No","West",2,3,3,80,"Neutral","Disapprove","Neutral","Free capitalist guns",0.0400188150040658,0.000307257960847706,"Fountains",1
"Yes","Family;Friends","Rarely","Jeans","Indoors","Lost misguided magnificent","","","Male","35-44","White","No","West",3,1,1,81,"Disapprove","Neutral","Disapprove","Lost misguided magnificent",0.53115369189653,0.399757294877877,"Fountains",1
"Yes","Family;Friends","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Clothing featuring the American Flag;Clothing making a political statement;Sunscreen","Outdoors","Deteriorating freedom laughingstock","","","Female","18-24","White","No","West",5,2,1,82,"Disapprove","Approve","Disapprove","Deteriorating freedom laughingstock",0.146923049584156,0.0778559151200029,"Fountains",0
"No","","","None of the above","","","Don't feel motivated to celebrate;Other","Divided changing hopeful","Male","18-24","White","No","Midwest",2,1,1,83,"Disapprove","Disapprove","Disapprove","Divided changing hopeful",0.0324842111986291,0.0204263009152258,"Fountains",0
"Yes","Family;Friends;With strangers","Always","Clothing featuring the American Flag","Both","The greatest country","","","Female","45-54","White","No","West",1,2,5,84,"Approve","Disapprove","Disapprove","The greatest country",2.34086027763695,4.56614491552526,"Fountains",1
"Yes","Family;Friends","Usually","None of the above","Both","Bank-sponsored corruption headquarters","","","Male","35-44","Other","No","Southeast",1,1,1,85,"Disapprove","Disapprove","Disapprove","Bank-sponsored corruption headquarters",0.112218971182217,0.0473156821778107,"Fountains",0
"Yes","Family;Friends;By myself","Usually","Clothing featuring the American Flag;Jeans;Sunscreen","Both","United States of","","","Male","18-24","White","No","Southwest",2,2,1,86,"Disapprove","Disapprove","Disapprove","United States of",0.0213843360577162,0.0278046717930336,"Fountains",0
"Yes","Friends","Always","Sunscreen","Outdoors","Imperfect Home Free","","","Male","25-34","White","No","Northeast",2,1,1,87,"Disapprove","Disapprove","Disapprove","Imperfect Home Free",0.90420296790202,0.908871630363372,"Fountains",0
"Yes","Family;Friends;With strangers","Usually","Solid red clothing;Clothing that is primarily red and white stripes;Clothing making a political statement;Jeans;Sunscreen","Outdoors","Capitalist Imperialist Dying","","","Male","25-34","White","No","Midwest",1,1,1,88,"Disapprove","Disapprove","Disapprove","Capitalist Imperialist Dying",0.214583657487779,0.237244928654966,"Fountains",0
"Yes","Family","Always","Sunscreen","Outdoors","Needs some work","","","Female","35-44","Multiple Races","No","West",5,1,1,89,"Disapprove","Approve","Disapprove","Needs some work",0.675438042511035,0.367575121516052,"Fountains",0
"Yes","Family;Friends","Never","Jeans;Sunscreen","Outdoors","In-crisis Hypocritical corrupt","","","Male","25-34","Other","No","Midwest",4,1,1,90,"Disapprove","Approve","Disapprove","In-crisis Hypocritical corrupt",0.160857469507991,0.154333885452908,"Fountains",0
"Yes","Family;Friends","Usually","Solid blue clothing","Outdoors","Yes we can","","","Male","18-24","Other","Yes","Southeast",3,2,1,91,"Disapprove","Neutral","Disapprove","Yes we can",0.0511002496196768,0.0272878317546011,"Fountains",1
"Yes","With strangers","Usually","Clothing making a political statement;Jeans","Outdoors","America hell yeah","","","Male","45-54","White","No","West",1,4,5,92,"Approve","Disapprove","Approve","America hell yeah",0.6376021643048,1.31102221644603,"Fountains",1
"Yes","Family;Friends","Usually","Solid red clothing;Solid white clothing;Solid blue clothing;Jeans","Outdoors","imperfect hope loud","","","Female","25-34","White","No","West",4,1,1,93,"Disapprove","Approve","Disapprove","imperfect hope loud",0.970541816645894,0.904271463769729,"Fountains",0
"Yes","Family;Friends;With strangers","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Clothing featuring the American Flag;Jeans;Sunscreen","Outdoors","Freedom Brave Equality","","","Female","25-34","White","No","West",1,3,4,94,"Approve","Disapprove","Neutral","Freedom Brave Equality",0.970541816645894,2.19517194825628,"Fountains",0
"Yes","Family","Always","None of the above","Both","Red white blue","","","Male","55+","White","No","Northeast",1,3,5,95,"Approve","Disapprove","Neutral","Red white blue",4.27304256834385,6.09101426386911,"Fountains",0
"Yes","Family","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Clothing that is primarily blue and white stars;Jeans","Both","Great wonderful beautiful","","","Female","55+","Other","No","West",1,4,5,96,"Approve","Disapprove","Approve","Great wonderful beautiful",3.43819205351583,3.94230523952987,"Fountains",1
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate","Commercialized politicized not-free","Male","25-34","White","No","Midwest",1,1,1,97,"Disapprove","Disapprove","Disapprove","Commercialized politicized not-free",0.214583657487779,0.237244928654966,"Fountains",0
"Yes","Family","Rarely","None of the above","Both","Way too nationalistic","","","Female","45-54","White","No","Southeast",4,1,1,98,"Disapprove","Approve","Disapprove","Way too nationalistic",0.659746327495068,0.342234925952769,"Fountains",1
"Yes","Family;Friends","Always","Solid blue clothing;Clothing that is primarily red and white stripes;Sunscreen","Outdoors","Proud loud free","","","Female","18-24","White","No","Southwest",2,4,3,99,"Neutral","Disapprove","Approve","Proud loud free",0.0785093678214332,0.00133109355862048,"Fountains",0
"Yes","Family;Friends","Always","Sunscreen","Both","Loud Proud Stuck","","","Male","18-24","Multiple Races","No","Northeast",4,1,1,100,"Disapprove","Approve","Disapprove","Loud Proud Stuck",0.0474112290633541,0.0206588150640025,"Fountains",1
"Yes","Family","Rarely","None of the above","Outdoors","Diverse complicated patriotic","","","Male","18-24","Multiple Races","Yes","Midwest",4,1,1,101,"Disapprove","Approve","Disapprove","Diverse complicated patriotic",0.068002463773697,0.0556170748979491,"Fountains",1
"No","","","None of the above","","","Other","Turmoil Tyrancy Greed","Female","55+","White","No","Southeast",4,1,1,102,"Disapprove","Approve","Disapprove","Turmoil Tyrancy Greed",1.29266810267779,0.454214017398436,"Fountains",0
"Yes","Family;Friends;By myself;With strangers","Always","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily blue and white stars;Clothing featuring the American Flag","Both","Home of Brave","","","Male","18-24","Multiple Races","No","Southeast",5,1,1,103,"Disapprove","Approve","Disapprove","Home of Brave",0.00390665731653144,0.00107375797676195,"Fountains",0
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;No one to celebrate with","proud large loud","Female","25-34","White","No","Southwest",3,2,1,104,"Disapprove","Neutral","Disapprove","proud large loud",0.518615865140275,1.12477233148064,"Fountains",0
"Yes","Friends","Never","Clothing making a political statement;Sunscreen","Both","Racist sexist colonialism","","","Female","25-34","White","No","Midwest",3,1,1,105,"Disapprove","Neutral","Disapprove","Racist sexist colonialism",0.787811566779859,0.826297763014772,"Fountains",0
"Yes","Family;Friends;With strangers","Always","Jeans;Sunscreen;None of the above","Outdoors","Young unruly Loud","","","Female","18-24","Other","No","West",2,1,1,106,"Disapprove","Disapprove","Disapprove","Young unruly Loud",0.110137324739422,0.0506472612674341,"Fountains",1
"Yes","Family;Friends","Usually","Solid red clothing;Clothing featuring the American Flag","Both","Greatest Country Ever","","","Male","55+","White","No","Southeast",1,5,5,107,"Approve","Disapprove","Approve","Greatest Country Ever",0.352096187828501,0.316585202594537,"Fountains",0
"Yes","Friends","Usually","None of the above","Both","Idea government crumbling","","","Female","55+","White","No","Southwest",4,1,1,108,"Disapprove","Approve","Disapprove","Idea government crumbling",2.45085201777728,3.10514564417657,"Fountains",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag","Outdoors","Freedom equality liberty","","","Male","18-24","White","No","Midwest",2,2,1,109,"Disapprove","Disapprove","Disapprove","Freedom equality liberty",0.0324842111986291,0.0204263009152258,"Fountains",1
"Yes","By myself","Rarely","Clothing featuring the American Flag","Both","God blessed American","","","Female","25-34","White","No","Southwest",5,4,1,110,"Disapprove","Approve","Approve","God blessed American",0.518615865140275,1.12477233148064,"Fountains",0
"Yes","Family","Usually","Sunscreen","Both","Not too bad","","","Male","45-54","White","No","Southeast",3,2,2,111,"Disapprove","Neutral","Disapprove","Not too bad",0.179701321912148,0.0982617940228538,"Fountains",0
"Yes","Friends","Always","Clothing that is primarily red and white stripes","Both","God blessed it","","","Female","55+","White","No","Southeast",1,5,5,112,"Approve","Disapprove","Approve","God blessed it",1.29266810267779,1.10263113395309,"Fountains",0
"Yes","Family;Friends","Always","None of the above","Outdoors","freedom booze guns","","","Male","18-24","Asian","No","Midwest",4,2,1,113,"Disapprove","Approve","Disapprove","freedom booze guns",0.168703203221685,2.5054703551474,"Fountains",0
"Yes","Family","Usually","None of the above","Outdoors","incompetent baby president","","","Female","45-54","White","No","Midwest",4,1,1,114,"Disapprove","Approve","Disapprove","incompetent baby president",1.90013121671681,1.71876983591051,"Fountains",0
"Yes","Family","Rarely","None of the above","Both","Selfish Corrupt Entitled","","","Female","18-24","Multiple Races","No","West",4,1,1,115,"Disapprove","Approve","Disapprove","Selfish Corrupt Entitled",0.0508896586474692,0.0205542524527967,"Fountains",0
"Yes","Family;Friends","Usually","Solid red clothing","Outdoors","Beautiful diverse opportunity","","","Male","18-24","White","No","Midwest",3,3,3,116,"Neutral","Neutral","Neutral","Beautiful diverse opportunity",0.0324842111986291,0.000280763659906437,"Fountains",1
"No","","","None of the above","","","Out of country at that time;Political reasons","hypocrisy betrayal self-centered","Male","25-34","Multiple Races","No","Midwest",4,1,1,117,"Disapprove","Approve","Disapprove","hypocrisy betrayal self-centered",0.07432522746966,0.0626335474858103,"Fountains",0
"Yes","Friends","Usually","Solid red clothing;Jeans;Sunscreen","Outdoors","unreliable anti-hero optimistic","","","Male","25-34","White","No","West",4,1,1,118,"Disapprove","Approve","Disapprove","unreliable anti-hero optimistic",0.264355616930038,0.25963257860464,"Fountains",0
"No","","","None of the above","","","Other","Patriotic home lost","Male","35-44","White","No","Southeast",1,1,4,119,"Approve","Disapprove","Disapprove","Patriotic home lost",0.149699963262195,0.176567379700227,"Fountains",0
"Yes","Family","Rarely","Clothing featuring the American Flag","Outdoors","The Greatest Country","","","Male","45-54","White","No","Southeast",1,2,3,120,"Neutral","Disapprove","Disapprove","The Greatest Country",0.179701321912148,0.00135062834104556,"Fountains",0
"Yes","Family;Friends","Usually","Solid red clothing;Solid white clothing;Solid blue clothing;Jeans;Sunscreen","Outdoors","Home troubled representative-democracy","","","Female","25-34","Multiple Races","No","Southeast",3,3,1,121,"Disapprove","Neutral","Neutral","Home troubled representative-democracy",0.0947447916339898,0.04343634307063,"Fountains",1
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Sunscreen","Outdoors","Diverse controversial loud","","","Male","25-34","White","No","Midwest",4,1,1,122,"Disapprove","Approve","Disapprove","Diverse controversial loud",0.214583657487779,0.237244928654966,"Fountains",0
"Yes","Family;Friends","Usually","Sunscreen;None of the above","Both","tough divided hopeful","","","Male","35-44","White","No","Midwest",3,2,1,123,"Disapprove","Neutral","Disapprove","tough divided hopeful",0.431149915477145,0.365286942849433,"Fountains",1
"Yes","Family;Friends","Always","Clothing featuring the American Flag;Sunscreen","Both","The best country","","","Male","35-44","White","No","Midwest",1,5,5,124,"Approve","Disapprove","Approve","The best country",0.431149915477145,0.886755451360305,"Fountains",0
"No","","","None of the above","","","Don't feel motivated to celebrate","Corrupt backward insufficient","Other","18-24","Asian","No","Northeast",2,1,1,125,"Disapprove","Disapprove","Disapprove","Corrupt backward insufficient",0.530068167235308,0.707611743522744,"Fountains",0
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;No one to celebrate with","The best country","Male","55+","White","No","West",1,2,4,126,"Approve","Disapprove","Disapprove","The best country",1.24928013335746,1.73998801020307,"Fountains",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag","Outdoors","melting pot luck","","","Male","25-34","White","No","Northeast",3,2,2,127,"Disapprove","Neutral","Disapprove","melting pot luck",0.90420296790202,0.908871630363372,"Fountains",0
"No","","","None of the above","","","Don't feel motivated to celebrate;Political reasons","Imperialist racist occupier","Female","18-24","White","No","West",2,1,1,128,"Disapprove","Disapprove","Disapprove","Imperialist racist occupier",0.146923049584156,0.0778559151200029,"Fountains",0
"Yes","Family","Usually","None of the above","Both","Breaking divided idle","","","Male","18-24","White","No","Southeast",2,1,1,129,"Disapprove","Disapprove","Disapprove","Breaking divided idle",0.011278873191137,0.00406720750804197,"Fountains",0
"Yes","Family;Friends","Rarely","Sunscreen;None of the above","Outdoors","Racist Dumb Expensive","","","Female","18-24","White","No","Northeast",4,1,1,130,"Disapprove","Approve","Disapprove","Racist Dumb Expensive",0.502536163331714,0.272542963940985,"Fountains",0
"Yes","Family","Usually","None of the above","Indoors","Raging dumpster fire","","","Female","25-34","White","No","Southeast",3,2,1,131,"Disapprove","Neutral","Disapprove","Raging dumpster fire",0.273536787022121,0.164529274270452,"Fountains",1
"Yes","Friends;By myself","Usually","Sunscreen","Both","An ongoing experiment","","","Male","25-34","White","No","Midwest",5,1,1,132,"Disapprove","Approve","Disapprove","An ongoing experiment",0.214583657487779,0.237244928654966,"Fountains",0
"Yes","Family;Friends","Rarely","Solid red clothing;Solid white clothing;Solid blue clothing;Clothing that is primarily red and white stripes;Sunscreen","Outdoors","nonsensical forced openendedquestions","","","Male","18-24","White","No","Northeast",3,2,1,133,"Disapprove","Neutral","Disapprove","nonsensical forced openendedquestions",0.136880508607368,0.0782519800122415,"Fountains",0
"Yes","Friends","Rarely","Solid red clothing;Solid blue clothing;Sunscreen","Outdoors","conflicted apathetic freedom","","","Male","18-24","White","No","West",5,2,1,134,"Disapprove","Approve","Disapprove","conflicted apathetic freedom",0.0400188150040658,0.0223538315783652,"Fountains",1
"Yes","Family;Friends;With strangers","Usually","Sunscreen","Outdoors","my home country","","","Male","35-44","White","No","Northeast",2,3,3,135,"Neutral","Disapprove","Neutral","my home country",1.81676012865678,0.0192349440755432,"Fountains",0
"No","","","None of the above","","","No one to celebrate with","Idiotic chicken running","Female","18-24","White","No","Outside US",1,1,5,136,"Approve","Disapprove","Disapprove","Idiotic chicken running",1.45972829735991,1.50159275631593,"Fountains",0
"No","","","None of the above","","","Don't feel motivated to celebrate;Political reasons;Other","Divided elitist lie","Male","35-44","White","No","West",2,1,1,137,"Disapprove","Disapprove","Disapprove","Divided elitist lie",0.53115369189653,0.399757294877877,"Fountains",0
"Yes","Family","Always","Solid white clothing;Solid blue clothing","Outdoors","Diverse opinionated beautiful","","","Female","25-34","White","No","West",2,4,3,1,"Neutral","Disapprove","Approve","Diverse opinionated beautiful",0.970541816645894,0.0124293951592426,"Ground Spinners",1
"Yes","Family;Friends","Always","Jeans","Outdoors","Freedom guns oil","","","Male","18-24","Black","No","West",2,3,3,2,"Neutral","Disapprove","Neutral","Freedom guns oil",2.29245760758382,0.0389120944571167,"Ground Spinners",1
"Yes","Family;Friends","Always","None of the above","Both","Goddamn Fucking Shitshow","","","Male","18-24","White","No","Southeast",3,1,1,3,"Disapprove","Neutral","Disapprove","Goddamn Fucking Shitshow",0.011278873191137,0.00406720750804197,"Ground Spinners",0
"No","","","None of the above","","","Political reasons","Misled afraid broken","Female","45-54","White","No","Southeast",2,1,1,4,"Disapprove","Disapprove","Disapprove","Misled afraid broken",0.659746327495068,0.342234925952769,"Ground Spinners",0
"Yes","Family;Friends;With strangers","Rarely","None of the above","Outdoors","Land of free","","","Male","35-44","White","No","Northeast",3,2,2,5,"Disapprove","Neutral","Disapprove","Land of free",1.81676012865678,1.39939319748687,"Ground Spinners",0
"Yes","Family","Rarely","Sunscreen","Both","My home forever","","","Male","55+","White","No","Southeast",4,1,1,6,"Disapprove","Approve","Disapprove","My home forever",0.352096187828501,0.130413002400747,"Ground Spinners",0
"Yes","Family","Usually","Solid red clothing;Jeans","Outdoors","Diverse struggling divided","","","Female","25-34","Multiple Races","Yes","West",4,1,1,7,"Disapprove","Approve","Disapprove","Diverse struggling divided",2.03173271851236,2.46216551578708,"Ground Spinners",0
"Yes","Family","Usually","Jeans","Indoors","Racist homophobic poor","","","Male","55+","White","No","Southwest",4,1,1,8,"Disapprove","Approve","Disapprove","Racist homophobic poor",0.667561650669326,0.891543085059496,"Ground Spinners",0
"Yes","Family;Friends;With strangers","Usually","None of the above","Both","United States America","","","Male","18-24","Asian","No","Midwest",3,3,3,9,"Neutral","Neutral","Neutral","United States America",0.168703203221685,0.0344381995358698,"Ground Spinners",0
"No","","","None of the above","","","Don't feel motivated to celebrate;No one to celebrate with","Split Polarized Confused","Male","25-34","Other","Yes","Midwest",1,1,1,10,"Disapprove","Disapprove","Disapprove","Split Polarized Confused",0.972196271392192,1.59173085832685,"Ground Spinners",0
"Yes","Family;Friends;With strangers","Rarely","Sunscreen","Outdoors","Unequitable deceitful entertained","","","Male","55+","White","No","West",3,1,1,11,"Disapprove","Neutral","Disapprove","Unequitable deceitful entertained",1.24928013335746,0.716764582463777,"Ground Spinners",1
"Yes","Family","Usually","Jeans","Outdoors","Getting uncomfortably fascist","","","Male","25-34","White","No","Southeast",4,1,1,12,"Disapprove","Approve","Disapprove","Getting uncomfortably fascist",0.0745057913487883,0.0472393097054153,"Ground Spinners",1
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Jeans;Sunscreen","Both","Making America Great","","","Female","55+","White","No","Southeast",1,5,5,13,"Approve","Disapprove","Approve","Making America Great",1.29266810267779,1.10263113395309,"Ground Spinners",0
"No","","","None of the above","","","Don't feel motivated to celebrate","Terrifying under Trump","Female","55+","White","No","Southeast",5,1,1,14,"Disapprove","Approve","Disapprove","Terrifying under Trump",1.29266810267779,0.454214017398436,"Ground Spinners",0
"Yes","Family;Friends","Rarely","Clothing that is primarily red and white stripes;Clothing featuring the American Flag","Both","Best country ever","","","Male","18-24","White","No","Midwest",1,4,3,15,"Neutral","Disapprove","Approve","Best country ever",0.0324842111986291,0.000280763659906437,"Ground Spinners",0
"Yes","By myself","Rarely","Jeans","Indoors","Big screwed ugly","","","Male","35-44","Black","No","Southeast",3,1,1,16,"Disapprove","Neutral","Disapprove","Big screwed ugly",7.54297945761364,7.90448465702436,"Ground Spinners",0
"Yes","Family;Friends;By myself;With strangers","Usually","Solid white clothing","Both","Unsustainable violent mockery","","","Other","25-34","White","No","Midwest",4,1,1,17,"Disapprove","Approve","Disapprove","Unsustainable violent mockery",0.160005810356888,0.0174902932563698,"Ground Spinners",0
"No","","","None of the above","","","Political reasons","Hateful sociopathic ignorant","Male","45-54","White","No","Northeast",5,1,1,18,"Disapprove","Approve","Disapprove","Hateful sociopathic ignorant",2.18085689269742,1.89053052411016,"Ground Spinners",0
"Yes","Family;Friends","Usually","None of the above","Both","Good Opportunity Freedom","","","Male","18-24","Asian","No","Southeast",3,3,1,19,"Disapprove","Neutral","Neutral","Good Opportunity Freedom",0.0585755961393423,0.498879747337721,"Ground Spinners",0
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;Political reasons","diverse overrated trying","Male","35-44","White","No","Southeast",1,1,1,20,"Disapprove","Disapprove","Disapprove","diverse overrated trying",0.149699963262195,0.0727345495747334,"Ground Spinners",0
"Yes","Family","Rarely","Solid red clothing;Solid white clothing;Solid blue clothing;Jeans","Outdoors","a hot mess","","","Female","18-24","White","No","Northeast",4,1,1,21,"Disapprove","Approve","Disapprove","a hot mess",0.502536163331714,0.272542963940985,"Ground Spinners",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Clothing featuring a bald eagle","Outdoors","Free Amazing Divided","","","Male","18-24","White","No","Midwest",1,1,3,22,"Neutral","Disapprove","Disapprove","Free Amazing Divided",0.0324842111986291,0.000280763659906437,"Ground Spinners",0
"No","","","None of the above","","","Don't feel motivated to celebrate","Bullshit fascists racists","Male","25-34","White","Yes","West",4,1,1,23,"Disapprove","Approve","Disapprove","Bullshit fascists racists",1.59772216911692,2.67773461401047,"Ground Spinners",0
"Yes","Family;Friends","Usually","Sunscreen","Both","MAGA MAGA MAGA","","","Male","25-34","Asian","Yes","Midwest",5,1,3,24,"Neutral","Approve","Disapprove","MAGA MAGA MAGA",6.73535305233147,4.12530436306265,"Ground Spinners",0
"Yes","Family;Friends","Rarely","None of the above","Outdoors","Freedom opportunity hope","","","Male","45-54","White","Yes","Southwest",1,4,3,25,"Neutral","Disapprove","Approve","Freedom opportunity hope",2.059178748342,0.0952282156791762,"Ground Spinners",0
"No","","","None of the above","","","Political reasons","racist imperialist proto-fascist","Female","25-34","White","No","West",1,1,1,26,"Disapprove","Disapprove","Disapprove","racist imperialist proto-fascist",0.970541816645894,0.904271463769729,"Ground Spinners",0
"Yes","Family","Rarely","Clothing making a political statement;Jeans;Sunscreen","Outdoors","The great experiment","","","Male","55+","White","No","Northeast",1,2,4,27,"Approve","Disapprove","Disapprove","The great experiment",4.27304256834385,6.09101426386911,"Ground Spinners",0
"Yes","Family;Friends","Rarely","Jeans;Sunscreen","Indoors","Red white blue","","","Male","18-24","White","No","West",4,1,1,28,"Disapprove","Approve","Disapprove","Red white blue",0.0400188150040658,0.0223538315783652,"Ground Spinners",0
"Yes","Family","Usually","Sunscreen","Outdoors","Headed for revolution","","","Male","45-54","White","No","Northeast",3,1,1,29,"Disapprove","Neutral","Disapprove","Headed for revolution",2.18085689269742,1.89053052411016,"Ground Spinners",1
"No","","","None of the above","","","No one to celebrate with","I also work","Female","45-54","White","No","West",2,1,1,30,"Disapprove","Disapprove","Disapprove","I also work",2.34086027763695,1.88096178516977,"Ground Spinners",0
"Yes","Family","Usually","Clothing featuring the American Flag;Sunscreen","Outdoors","Broken racist oligarchy","","","Male","25-34","White","No","Midwest",3,1,1,31,"Disapprove","Neutral","Disapprove","Broken racist oligarchy",0.214583657487779,0.237244928654966,"Ground Spinners",0
"Yes","Family","Always","Sunscreen","Outdoors","Going downhill fast","","","Male","45-54","Other","No","West",4,2,1,32,"Disapprove","Approve","Disapprove","Going downhill fast",0.477963102612926,0.351321465078804,"Ground Spinners",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Clothing featuring a bald eagle;Sunscreen","Outdoors","Land of free","","","Male","35-44","Multiple Races","No","Southeast",1,5,5,33,"Approve","Disapprove","Approve","Land of free",0.0518514967631962,0.0466144478771255,"Ground Spinners",0
"Yes","Family;Friends","Usually","Jeans","Both","Capitalist Rich Powerful","","","Male","18-24","Multiple Races","No","Midwest",4,1,1,34,"Disapprove","Approve","Disapprove","Capitalist Rich Powerful",0.0112515389791419,0.005392619752028,"Ground Spinners",0
"No","","","None of the above","","","I Don't like general Fourth of July activities;Don't feel motivated to celebrate;No one to celebrate with","Empire Diverse Prosperity","Male","25-34","White","No","West",3,2,1,35,"Disapprove","Neutral","Disapprove","Empire Diverse Prosperity",0.264355616930038,0.25963257860464,"Ground Spinners",0
"No","","","None of the above","","","I Don't like general Fourth of July activities","Complex Immature Self-Involved","Female","35-44","White","No","Midwest",4,1,1,36,"Disapprove","Approve","Disapprove","Complex Immature Self-Involved",1.58290195257949,1.27225389156352,"Ground Spinners",0
"Yes","Family;Friends","Always","Clothing featuring the American Flag","Both","Needs less Illegals","","","Male","18-24","Multiple Races","No","Southwest",1,3,5,37,"Approve","Disapprove","Neutral","Needs less Illegals",0.00740688112219324,0.0178195841125713,"Ground Spinners",1
"Yes","Family;Friends","Always","Clothing featuring the American Flag;Clothing featuring a bald eagle;Clothing making a political statement","Both","Greatest On Earth","","","Male","18-24","Multiple Races","Yes","Southwest",1,4,5,38,"Approve","Disapprove","Approve","Greatest On Earth",0.0447659796692485,0.183783242619039,"Ground Spinners",0
"Yes","Family","Always","Clothing that is primarily red and white stripes;Clothing featuring the American Flag;Clothing featuring a bald eagle;Jeans;Sunscreen","Both","I love america","","","Female","55+","White","Yes","Southeast",1,5,5,39,"Approve","Disapprove","Approve","I love america",7.54297945761364,7.90448465702436,"Ground Spinners",1
"No","","","None of the above","","","Don't feel motivated to celebrate","Really horrible now","Female","45-54","White","No","Midwest",4,1,1,40,"Disapprove","Approve","Disapprove","Really horrible now",1.90013121671681,1.71876983591051,"Ground Spinners",0
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Clothing featuring a bald eagle","Outdoors","Liberty Justice Compassion","","","Male","35-44","White","No","Northeast",1,5,5,41,"Approve","Disapprove","Approve","Liberty Justice Compassion",1.81676012865678,3.39710895984447,"Ground Spinners",1
"Yes","Family;Friends;By myself;With strangers","Always","Clothing featuring the American Flag;Clothing featuring a bald eagle;Jeans","Both","Free diverse powerful","","","Male","18-24","White","No","West",3,3,2,42,"Disapprove","Neutral","Neutral","Free diverse powerful",0.0400188150040658,0.0223538315783652,"Ground Spinners",1
"Yes","Family;Friends","Usually","Jeans;Sunscreen","Both","diverse struggling hopeful","","","Female","18-24","White","No","Midwest",4,1,1,43,"Disapprove","Approve","Disapprove","diverse struggling hopeful",0.119260886964131,0.0711425396892855,"Ground Spinners",0
"Yes","By myself;With strangers","Always","Clothing making a political statement","Both","Liberty happines freedom","","","Male","45-54","White","No","Northeast",1,3,5,44,"Approve","Disapprove","Neutral","Liberty happines freedom",2.18085689269742,4.58937358981579,"Ground Spinners",1
"Yes","Family;Friends","Usually","Clothing featuring the American Flag;Sunscreen","Both","Greatest country ever","","","Male","18-24","White","No","West",3,4,2,45,"Disapprove","Neutral","Approve","Greatest country ever",0.0400188150040658,0.0223538315783652,"Ground Spinners",0
"Yes","Friends","Usually","Sunscreen","Outdoors","big overrated diverse","","","Female","18-24","Other","Yes","Northeast",2,1,1,46,"Disapprove","Disapprove","Disapprove","big overrated diverse",2.27679866188623,1.82855350537605,"Ground Spinners",0
"Yes","Family","Always","None of the above","Both","Sadly racist home","","","Male","25-34","White","No","Midwest",3,1,1,47,"Disapprove","Neutral","Disapprove","Sadly racist home",0.214583657487779,0.237244928654966,"Ground Spinners",0
"Yes","Family;Friends","Usually","Sunscreen","Outdoors","In horrible trouble","","","Female","55+","White","No","Midwest",5,1,1,48,"Disapprove","Approve","Disapprove","In horrible trouble",3.72300521031777,2.28115044067683,"Ground Spinners",0
"Yes","Family;Friends","Usually","Jeans;Sunscreen","Outdoors","Individualism Opportunity Bloated","","","Male","35-44","White","No","Midwest",3,1,1,49,"Disapprove","Neutral","Disapprove","Individualism Opportunity Bloated",0.431149915477145,0.365286942849433,"Ground Spinners",0
"Yes","Family;By myself;With strangers","Always","Sunscreen","Outdoors","Divided at present","","","Female","45-54","White","No","Midwest",3,3,1,50,"Disapprove","Neutral","Neutral","Divided at present",1.90013121671681,1.71876983591051,"Ground Spinners",0
"Yes","By myself","Rarely","Sunscreen;None of the above","Indoors","Land of Freedom","","","Male","18-24","White","No","West",1,3,3,51,"Neutral","Disapprove","Neutral","Land of Freedom",0.0400188150040658,0.000307257960847706,"Ground Spinners",0
"Yes","Family","Always","Solid red clothing","Both","Beautiful freedom majestic","","","Female","45-54","White","No","Southeast",2,3,4,52,"Approve","Disapprove","Neutral","Beautiful freedom majestic",0.659746327495068,0.830795330014297,"Ground Spinners",0
"Yes","Family","Usually","Jeans","Outdoors","Taxation with representation","","","Male","18-24","White","No","Southeast",1,1,2,53,"Disapprove","Disapprove","Disapprove","Taxation with representation",0.011278873191137,0.00406720750804197,"Ground Spinners",0
